Field=3DR_PARTNO~String~3DR_PARTNO~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Value~String~Value~100|ReportField=Currency~USD|ReportField=ProductionQuantity~5000|ReportField=ProjectFileName~FMU3_REV_G.PrjPcb|ReportField=ProjectFullPath~F:\Current_Work\00_0_git\Pixhawk_OS_Hardware\FMUv3_REV_G\FMU3_REV_G.PrjPcb|ReportField=Title~PCH For Variant [FMU3_REV_G] of Project [FMU3_REV_G.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~152|ReportField=ReportTime~4:11:12 PM|ReportField=ReportDate~9/09/2015|ReportField=ReportDateTime~9/09/2015 4:11:12 PM|ReportField=OutputName~PCH|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~FMU3_REV_G|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~9/09/2015|ReportField=CurrentTime~4:10:12 PM|ReportField=Date~18/08/2014 1:53:28 PM|ReportField=DocumentFullPathAndName~F:\Current_Work\00_0_git\Pixhawk_OS_Hardware\FMUv3_REV_G\80PIN_FMU3_REV_G.SchDoc|ReportField=DocumentName~80PIN_FMU3_REV_G.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Philip Rowse|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~7/09/2015|ReportField=Organization~|ReportField=ProjectName~FMU3_REV_G.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~9|ReportField=SheetTotal~10|ReportField=Time~|ReportField=Title~Pixhawk_mini_8L.sch|ReportField=DataSourceFileName~FMU3_REV_G.PrjPcb|ReportField=DataSourceFullPath~F:\Current_Work\00_0_git\Pixhawk_OS_Hardware\FMUv3_REV_G\FMU3_REV_G.PrjPcb
ECM0700|0u1|CAP CER 0.1UF 16V Y5V 0402|C1001, C3001, C3002, C3003, C3004, C4003, C4005, C4006, C5001, C5005, C5007, C5009, C5010, C5011, C5012, C5014, C5015, C7001, C7002, C7003, C7006, C8001, C8002, C8003, C10002|0402-CAP|CAP0402|Yageo|CC0402ZRY5V7BB104|25|Digi-Key|USD|125000|311-1047-1-ND|2551482|302.26071|0.00242|0u1
ECM0710|8p|CAP CER 8PF 50V C0G 0402|C1002, C1003, C7004, C7005|0402-CAP|CAP0402|TDK Corporation|C1005C0G1H080C050BA|4|Digi-Key|USD|20000|445-4890-1-ND|179336|104.48347|0.00522|8p
ECM0619|2u2|CAP CER 2.2UF 16V 10% X6S 0603|C4001, C4002, C5013, C5016|0603-CAP|CAP0603|TDK Corporation|C1608X6S1C225K080AC|4|Digi-Key|USD|20000|445-7438-1-ND|33103|1115.36801|0.05577|2u2
ECM|0u22|CAP CER 0.22UF 25V 10% X7R 0402|C4007|0402-CAP|CAP0402|TDK Corporation|C1005X6S1E224K050BC|1|Digi-Key|USD|5000|445-7362-1-ND|72739|121.38929|0.02428|0u22
ECM0622|4u7|CAP CER 4.7UF 16V 10% X7R 0805|C4008|0805|CAP0805|Samsung Electro-Mechanics America, Inc.|CL21B475KOFNNNE|1|Digi-Key|USD|5000|1276-2873-1-ND|40857|286.42883|0.05729|4u7
ECM0714|10u/25V|CAP CER 10UF 25V 10% X5R 0805|C5002, C10001|0805-CAP|CAP0805|Samsung Electro-Mechanics America, Inc.|CL21A106KAYNNNE|2|Digi-Key|USD|10000|1276-2891-1-ND|367264|571.05623|0.05711|10u/25
ECM0711|10n|CAP CER 10000PF 16V 10% X7R 0402|C5003, C10003|0402-CAP|CAP0402|Yageo|CC0402KRX7R7BB103|2|Digi-Key|USD|10000|311-1042-1-ND|1815832|24.943|0.00249|10n
ECM0705|1u|CAP CER 1UF 16V Y5V 0603|C5004, C10005|0603-CAP|CAP0603|Yageo|CC0603ZRY5V7BB105|2|Digi-Key|USD|10000|311-1372-1-ND|33301|75.17544|0.00752|1u
ECM0715|22u/25V|CAP CER 22UF 25V 20% X5R 0805|C5006, C5008|0805-CAP|CAP0805|Samsung Electro-Mechanics America, Inc.|CL21A226MAQNNNE|2|Digi-Key|USD|10000|1276-2908-1-ND|581141|3891.80153|0.38918|22u/25V
|GRM21BR60G107ME15L||C5100, C5101|C0805|Capacitor|Murata Electronics North America|GRM21BR60G107ME15L|2|Digi-Key|USD|10000|490-10510-1-ND|0|4312.09115|0.43121|100uF
